Date,RB5 SD,RB5 Temp
14/1/2004,1.19,3.1
27/1/2004,1.17,3.2
11/2/2004,1.03,3.7
24/2/2004,1.3,3.6
9/3/2004,1.27,3.2
23/3/2004,1.12,5.6
6/4/2004,1.19,7.4
20/4/2004,1.63,8.9
4/5/2004,2.75,11.4
18/5/2004,3.3,14.5
8/6/2004,3.15,16.4
23/6/2004,#N/A,#N/A
13/7/2004,1.97,15.6
17/8/2004,0.62,19.8
7/9/2004,1.03,16.2
29/9/2004,0.77,11.9
7/10/2004,0.77,10.4
19/10/2004,0.75,9.2
2/11/2004,0.83,8.5
15/11/2004,0.83,7.3
30/11/2004,1.39,5.2
15/12/2004,1.13,6.3
20/12/2004,1.55,3.6
13/1/2005,0.83,#N/A
25/1/2005,1.37,2.7
9/2/2005,1.37,4.3
22/2/2005,1.01,2.4
8/3/2005,0.92,3
22/3/2005,0.95,7.5
7/4/2005,0.97,8.2
19/4/2005,0.86,7.5
3/5/2005,1.14,11
17/5/2005,2.04,12.8
31/5/2005,2.33,13.5
14/6/2005,1.94,16.2
28/6/2005,1.66,18.4
12/7/2005,1.11,21.5
26/7/2005,1.05,17.5
8/8/2005,0.98,16
23/8/2005,0.98,17.2
6/9/2005,0.93,17
20/9/2005,1.21,13.2
4/10/2005,0.75,11.5
19/10/2005,0.95,11
2/11/2005,1,10
15/11/2005,1.49,7.3
29/11/2005,1.82,2.5
13/12/2005,2.03,4.2
27/12/2005,#N/A,#N/A
10/1/2006,1.56,#N/A
24/1/2006,1.38,4.7
7/2/2006,1.55,4
22/2/2006,1.5,3.4
10/3/2006,1.1,2.3
21/3/2006,0.87,3.5
4/4/2006,1.12,6.2
18/4/2006,1.1,7.9
2/5/2006,2.95,10.5
16/5/2006,2.82,13.1
30/5/2006,3.13,12
13/6/2006,2.46,17.4
27/6/2006,1.28,17.2
11/7/2006,0.74,17.2
25/7/2006,0.86,22.5
8/8/2006,1.13,19
22/8/2006,1.16,17.2
5/9/2006,0.99,15.6
19/9/2006,0.97,15.6
4/10/2006,0.92,14.8
17/10/2006,0.86,12.3
31/10/2006,1.4,10.5
14/11/2006,#N/A,7
30/11/2006,1.3,#N/A
12/12/2006,0.91,5.4
21/12/2006,#N/A,4.5
9/1/2007,#N/A,#N/A
23/1/2007,#N/A,3.1
6/2/2007,#N/A,3.7
20/2/2007,#N/A,4.5
6/3/2007,#N/A,5.6
20/3/2007,#N/A,5.5
3/4/2007,#N/A,8.1
13/4/2007,#N/A,11.8
1/5/2007,#N/A,12.95
15/5/2007,#N/A,12.1
29/5/2007,#N/A,12.9
12/6/2007,#N/A,17.5
26/6/2007,#N/A,14.2
10/7/2007,#N/A,16.1
25/7/2007,#N/A,16.5
7/8/2007,#N/A,16.4
22/8/2007,#N/A,15.7
4/9/2007,#N/A,14.9
18/9/2007,#N/A,13
2/10/2007,#N/A,11.5
16/10/2007,#N/A,12.3
30/10/2007,#N/A,9.4
13/11/2007,#N/A,6.9
26/11/2007,#N/A,6.9
12/12/2007,#N/A,4.3
8/1/2008,#N/A,2.79
23/1/2008,#N/A,3.5
5/2/2008,#N/A,3.7
19/2/2008,#N/A,4.1
5/3/2008,#N/A,5
18/3/2008,#N/A,5.2
