"","YearMonth","Year","Month","Season","Cryto.Biovolume","Cyano.Biovolume","Diatoms.Biovolume","Greens.Biovolume","waterlevel.masl","Daphnia","RB5.ChlA","RB5.DO","RB5.NO3","RB5.pH","RB5.SD","RB5.SRP","RB5.SRSi","RB5.Temp","RB5.TON","RB5.TP"
"1",2004-02-01,2004,2,"Winter",1178.116991,168122.4395,7412676.872,269826.5299,107.16,3.15,55.3,NA,1.645,8.425,1.165,4.2,0.27,3.65,NA,54.75
"2",2004-03-01,2004,3,"Spring",6616.921045,256994.3151,3630115.202,217874.331,106.925,1.45,32.55,NA,1.625,8.49,1.195,6.4,0.18,4.4,NA,47.2
"3",2004-04-01,2004,4,"Spring",429605.6787,84289.95281,1451054.223,78996.32368,107.055,9.3,25.1,NA,1.295,8.26,1.41,6.15,0.135,8.15,NA,45.95
"4",2004-05-01,2004,5,"Spring",1325550.962,NA,10996.48833,29348.93647,107.16,6.8,7.1,NA,1.18,8.335,3.025,7.35,1.11,12.95,NA,33.65
"5",2004-06-01,2004,6,"Summer",639511.5317,NA,124615.8285,151540.6987,107.165,17.9,10.2,NA,0.96,8.68,3.15,8.6,1.39,16.4,NA,33
"6",2004-07-01,2004,7,"Summer",39892.98433,440352.5557,2622259.113,317374.1512,NA,5.6,20.3,NA,0.12,9.1,1.97,11.3,1.82,15.6,NA,41.7
"7",2004-08-01,2004,8,"Summer",90349.7722,6436136.39,69433.38224,246785.2914,107.11,6.3,40,NA,0.1,9.11,0.62,44,5.97,19.8,NA,120.2
"8",2004-09-01,2004,9,"Autumn",321171.442,1413469.637,20307423.69,470868.0518,106.885,2.1,63.25,NA,0.08,8.825,0.9,37.75,3.345,14.05,NA,111.6
"9",2004-10-01,2004,10,"Autumn",11368.03374,238169.5518,26748031.13,106019.8138,106.88,4.4,135.55,NA,0.08,9.095,0.76,15.25,0.015,9.8,NA,112.3
"10",2004-12-01,2004,12,"Winter",64968.44169,41489.89739,705055.1245,390871.5829,106.795,1.5,25.2,NA,1.015,7.98,1.34,28.55,1.3,4.95,NA,83.55
"11",2005-01-01,2005,1,"Winter",12233.9518,1809.60537,1422225.025,72096.7005,107.98,0.2,8.9,NA,1.75,7.8,1.1,28,4.97,2.7,NA,81
"12",2005-02-01,2005,2,"Winter",33779.30025,76097.45303,2439719.24,150276.4067,107.385,0.35,28.9,NA,3.505,8.415,1.19,14.25,4.735,3.35,NA,92.45
"13",2005-03-01,2005,3,"Spring",528095.4339,140882.5034,10702036.26,177791.7494,107.21,0.9,45.45,NA,1.855,8.8,0.935,6.55,1.135,5.25,NA,59.35
"14",2005-04-01,2005,4,"Spring",93549.6192,596232.5058,8140618.105,2261345.982,107.23,1.15,41.7,NA,1.375,8.865,0.915,10.9,0.2,7.85,NA,44.9
"15",2005-05-01,2005,5,"Spring",117202.3249,239800.3892,59289.06484,457522.9655,107.41,12.9333333333333,15.8666666666667,99.25,1.01333333333333,8.105,1.83666666666667,7.9,0.476666666666667,12.4333333333333,NA,50.6666666666667
"16",2005-06-01,2005,6,"Summer",6935349.433,2952.181531,109791.8751,862594.479,107.4,9.05,23.35,100.2,0.685,8.84,1.8,8.85,2.25,17.3,NA,51.95
"17",2005-07-01,2005,7,"Summer",331118.3535,2390093.603,80383.33714,64118.29502,107.115,8.95,38.8,119.2,0.33,9.14,1.08,12.45,4.975,19.5,NA,89
"18",2005-08-01,2005,8,"Summer",24721.32532,2317264.993,64045.26049,6262.203248,106.98,21.35,47.45,103.55,0.22,8.84,0.98,25.65,6.885,16.6,NA,126.3
