,YearMonth,Year,Month,Season,Cryto.Biovolume,Cyano.Biovolume,Diatoms.Biovolume,Greens.Biovolume,Total.Biovolume,waterlevel.masl,Daphnia,RB5.ChlA,RB5.NO3,RB5.SRP,RB5.SRSi,RB5.TP,RB5.SD,RB5.Temp,RB5.pH,RB5.DO
1,1/1/2004,2004,1,Winter,NA,NA,NA,NA,NA,107.06,1.3,47.35,1.465,5.85,1.665,48.95,1.18,3.15,8.16,NA
2,1/2/2004,2004,2,Winter,1178.116991,168122.4395,7412676.872,269826.5299,7851803.958,107.16,3.15,55.3,1.645,4.2,0.27,54.75,1.165,3.65,8.425,NA
3,1/3/2004,2004,3,Spring,6616.921045,256994.3151,3630115.202,217874.331,4111600.769,106.925,1.45,32.55,1.625,6.4,0.18,47.2,1.195,4.4,8.49,NA
4,1/4/2004,2004,4,Spring,429605.6787,84289.95281,1451054.223,78996.32368,2043946.178,107.055,9.3,25.1,1.295,6.15,0.135,45.95,1.41,8.15,8.26,NA
5,1/5/2004,2004,5,Spring,1325550.962,NA,10996.48833,29348.93647,NA,107.16,6.8,7.1,1.18,7.35,1.11,33.65,3.025,12.95,8.335,NA
6,1/6/2004,2004,6,Summer,639511.5317,NA,124615.8285,151540.6987,NA,107.165,17.9,10.2,0.96,8.6,1.39,33,3.15,16.4,8.68,NA
7,1/7/2004,2004,7,Summer,39892.98433,440352.5557,2622259.113,317374.1512,3419878.804,NA,5.6,20.3,0.12,11.3,1.82,41.7,1.97,15.6,9.1,NA
8,1/8/2004,2004,8,Summer,90349.7722,6436136.39,69433.38224,246785.2914,6842704.836,107.11,6.3,40,0.1,44,5.97,120.2,0.62,19.8,9.11,NA
9,1/9/2004,2004,9,Autumn,321171.442,1413469.637,20307423.69,470868.0518,22512932.82,106.885,2.1,63.25,0.08,37.75,3.345,111.6,0.9,14.05,8.825,NA
10,1/10/2004,2004,10,Autumn,11368.03374,238169.5518,26748031.13,106019.8138,27103588.53,106.88,4.4,135.55,0.08,15.25,0.015,112.3,0.76,9.8,9.095,NA
11,1/11/2004,2004,11,Autumn,NA,115141.0824,6240807.901,159291.6182,NA,107.22,4.333333333,91,0.613333333,9.933333333,0.066666667,82.73333333,1.016666667,7,8.43,NA
12,1/12/2004,2004,12,Winter,64968.44169,41489.89739,705055.1245,390871.5829,1202385.046,106.795,1.5,25.2,1.015,28.55,1.3,83.55,1.34,4.95,7.98,NA
13,1/1/2005,2005,1,Winter,12233.9518,1809.60537,1422225.025,72096.7005,1508365.283,107.98,0.2,8.9,1.75,28,4.97,81,1.1,2.7,7.8,NA
14,1/2/2005,2005,2,Winter,33779.30025,76097.45303,2439719.24,150276.4067,2699872.4,107.385,0.35,28.9,3.505,14.25,4.735,92.45,1.19,3.35,8.415,NA
15,1/3/2005,2005,3,Spring,528095.4339,140882.5034,10702036.26,177791.7494,11548805.95,107.21,0.9,45.45,1.855,6.55,1.135,59.35,0.935,5.25,8.8,NA
16,1/4/2005,2005,4,Spring,93549.6192,596232.5058,8140618.105,2261345.982,11091746.21,107.23,1.15,41.7,1.375,10.9,0.2,44.9,0.915,7.85,8.865,NA
17,1/5/2005,2005,5,Spring,117202.3249,239800.3892,59289.06484,457522.9655,873814.7444,107.41,12.93333333,15.86666667,1.013333333,7.9,0.476666667,50.66666667,1.836666667,12.43333333,8.105,99.25
18,1/6/2005,2005,6,Summer,6935349.433,2952.181531,109791.8751,862594.479,7910687.969,107.4,9.05,23.35,0.685,8.85,2.25,51.95,1.8,17.3,8.84,100.2
19,1/7/2005,2005,7,Summer,331118.3535,2390093.603,80383.33714,64118.29502,2865713.589,107.115,8.95,38.8,0.33,12.45,4.975,89,1.08,19.5,9.14,119.2
20,1/8/2005,2005,8,Summer,24721.32532,2317264.993,64045.26049,6262.203248,2412293.782,106.98,21.35,47.45,0.22,25.65,6.885,126.3,0.98,16.6,8.84,103.55
21,1/9/2005,2005,9,Autumn,564225.6744,1093469.846,6233946.747,190904.7985,8082547.066,106.9,0.9,45.65,0.21,16.55,9.125,106.65,1.07,15.1,8.51,107.15
22,1/10/2005,2005,10,Autumn,427443.6928,151180.085,17522671.74,196042.9252,18297338.44,106.7,1,80.3,0.135,4.3,4.835,105.25,0.85,11.25,8.275,96.4
23,1/11/2005,2005,11,Autumn,5369.158791,18366.9985,1992608.81,272871.7881,2289216.755,107.0566667,3,46.63333333,0.566666667,7.833333333,3.536666667,63.96666667,1.436666667,6.6,8.083333333,92.23333333
24,1/12/2005,2005,12,Winter,27813.79557,23836.01352,1437637.208,89079.30449,1578366.322,106.91,2.1,10.3,0.7,8.8,4.82,38.8,2.03,4.2,8.23,NA
25,1/1/2006,2006,1,Winter,NA,NA,NA,NA,NA,106.725,1.6,30.2,1.69,4.6,2.25,42.7,1.47,4.7,8.44,91.3
26,1/2/2006,2006,2,Winter,25777.85428,984890.8363,36394482.16,126053.3538,37531204.2,106.71,1.35,20.55,1.885,4.25,0.21,39.85,1.525,3.7,8.36,93.75
27,1/3/2006,2006,3,Spring,288924.1313,30653.30956,15579461.02,604587.3968,16503625.86,106.88,2.55,16.7,2.19,5.35,0.345,41.55,0.985,2.9,8.35,97.45
28,1/4/2006,2006,4,Spring,36800.98654,59165.25758,23727835.23,138937.5041,23962738.98,107.465,1.7,28.75,2.01,6.4,0.115,47.4,1.11,7.05,8.6,96
29,1/5/2006,2006,5,Spring,267360.7808,3382.18007,69614.47029,33430.42526,373787.8564,107.2766667,18.56666667,10.5,1.303333333,7.266666667,0.466666667,30.56666667,2.966666667,11.86666667,8.266666667,89.7
30,1/6/2006,2006,6,Summer,1345624.07,59172.34664,104353.5948,66506.69276,1575656.704,107.09,7.65,10.3,0.655,7.8,1.29,32.2,1.87,17.3,8.705,99.45
31,1/7/2006,2006,7,Summer,183128.8471,73866.81272,13230395.92,735137.7281,14222529.31,106.95,4,65,0.085,16.6,1.275,86.1,0.8,19.85,9.4,90.9
32,1/8/2006,2006,8,Summer,4930559.42,5084732.249,2275556.681,338970.8112,12629819.16,106.825,0.75,55.25,0.01,41.75,3.895,119.1,1.145,18.1,9.045,77.3
