"","YearMonth","year","month","Cryto.Biovolume","Cyano.Biovolume","Diatoms.Biovolume","Greens.Biovolume"
"1",2004-02-01,2004,2,1178.116991,168122.4395,7412676.872,269826.5299
"2",2004-03-01,2004,3,6616.921045,256994.3151,3630115.202,217874.331
"3",2004-04-01,2004,4,429605.6787,84289.95281,1451054.223,78996.32368
"4",2004-05-01,2004,5,1325550.962,NA,10996.48833,29348.93647
"5",2004-06-01,2004,6,639511.5317,NA,124615.8285,151540.6987
"6",2004-07-01,2004,7,39892.98433,440352.5557,2622259.113,317374.1512
"7",2004-08-01,2004,8,90349.7722,6436136.39,69433.38224,246785.2914
"8",2004-09-01,2004,9,321171.442,1413469.637,20307423.69,470868.0518
"9",2004-10-01,2004,10,11368.03374,238169.5518,26748031.13,106019.8138
"10",2004-12-01,2004,12,64968.44169,41489.89739,705055.1245,390871.5829
"11",2005-01-01,2005,1,12233.9518,1809.60537,1422225.025,72096.7005
"12",2005-02-01,2005,2,33779.30025,76097.45303,2439719.24,150276.4067
"13",2005-03-01,2005,3,528095.4339,140882.5034,10702036.26,177791.7494
"14",2005-04-01,2005,4,93549.6192,596232.5058,8140618.105,2261345.982
"15",2005-05-01,2005,5,117202.3249,239800.3892,59289.06484,457522.9655
"16",2005-06-01,2005,6,6935349.433,2952.181531,109791.8751,862594.479
"17",2005-07-01,2005,7,331118.3535,2390093.603,80383.33714,64118.29502
"18",2005-08-01,2005,8,24721.32532,2317264.993,64045.26049,6262.203248
"19",2005-09-01,2005,9,564225.6744,1093469.846,6233946.747,190904.7985
"20",2005-10-01,2005,10,427443.6928,151180.085,17522671.74,196042.9252
"21",2005-11-01,2005,11,5369.158791,18366.9985,1992608.81,272871.7881
"22",2005-12-01,2005,12,27813.79557,23836.01352,1437637.208,89079.30449
"23",2006-02-01,2006,2,25777.85428,984890.8363,36394482.16,126053.3538
"24",2006-03-01,2006,3,288924.1313,30653.30956,15579461.02,604587.3968
"25",2006-04-01,2006,4,36800.98654,59165.25758,23727835.23,138937.5041
"26",2006-05-01,2006,5,267360.7808,3382.18007,69614.47029,33430.42526
"27",2006-06-01,2006,6,1345624.07,59172.34664,104353.5948,66506.69276
"28",2006-07-01,2006,7,183128.8471,73866.81272,13230395.92,735137.7281
"29",2006-08-01,2006,8,4930559.42,5084732.249,2275556.681,338970.8112
"30",2006-09-01,2006,9,38273.02601,1785052.862,9298186.574,511886.5645
"31",2006-10-01,2006,10,340979.3546,677438.3337,86244010.68,287055.4871
"32",2006-12-01,2006,12,39338.23098,3145.216748,3086056.577,15947.77816
"33",2007-01-01,2007,1,8729.670421,3679.867468,8257562.178,124520.1769
"34",2007-02-01,2007,2,40631.99683,5299.712765,28081167.44,170322.4611
"35",2007-03-01,2007,3,346712.4191,NA,8221452.562,17597.9791
"36",2007-04-01,2007,4,67215.36681,8233.868511,4500206.028,156727.34
"37",2007-05-01,2007,5,1462498.405,25123.7119,961636.6951,1198877.129
"38",2007-06-01,2007,6,401001.8623,108331.6252,294954.9963,107749.8722
"39",2007-07-01,2007,7,229779.1436,1652186.452,4502499.784,830980.8303
"40",2007-08-01,2007,8,570804.1463,2324147.624,950020.7297,451971.3063
"41",2007-09-01,2007,9,87615.97437,1958947.691,553244.6913,81689.84854
"42",2007-10-01,2007,10,135270.4096,98400.92514,708995.1675,73380.96045
"43",2007-11-01,2007,11,617535.045,25840.02239,2866609.722,211178.5061
"44",2007-12-01,2007,12,410744.4728,NA,7184819.326,32497.7856
"45",2008-01-01,2008,1,265770.0324,25529.35046,1725129.724,131306.0221
"46",2008-02-01,2008,2,541275.0419,1933.651507,8841984.546,2266376.884
"47",2008-03-01,2008,3,1239854.862,48768.36007,33340845.08,7147581.821
"48",2008-04-01,2008,4,163867.0957,120295.7953,1726592.513,221879.3542
"49",2008-05-01,2008,5,494654.1424,109473.7068,330663.6742,237008.231
"50",2008-06-01,2008,6,1632599.609,NA,122312.2207,133545.6392
"51",2008-07-01,2008,7,2386841.044,468598.915,1822249.181,674560.0784
"52",2008-08-01,2008,8,951975.2955,79924.16083,6833416.741,949509.3093
"53",2008-09-01,2008,9,767286.1961,1578901.982,4236180.995,946798.7423
"54",2008-10-01,2008,10,462896.9453,453982.3216,9224318.453,1360478.011
"55",2008-11-01,2008,11,683723.0789,276951.8819,8885050.746,289916.3908
