Date,Site,Measure,Value,Units,Instrument,FileName,TabName
24/2/2010,Reed Bower,pH,7.82,pH,Hach HQ30d,DataSheets_2010,24.02.10
19/3/2010,Reed Bower,pH,8.98,pH,Hach HQ30d,DataSheets_2010,19.03.10
30/3/2010,Reed Bower,pH,8.39,pH,Hach HQ30d,DataSheets_2010,30.03.10
13/4/2010,Reed Bower,pH,8.96,pH,Hach HQ30d,DataSheets_2010,13.04.10
27/4/2010,Reed Bower,pH,8.61,pH,Hach HQ30d,DataSheets_2010,27.04.10
11/5/2010,Reed Bower,pH,8.21,pH,Hach HQ30d,DataSheets_2010,11.05.10
25/5/2010,Reed Bower,pH,8.25,pH,Hach HQ30d,DataSheets_2010,25.05.10
8/6/2010,Reed Bower,pH,8.97,pH,Hach HQ30d,DataSheets_2010,08.06.10
22/6/2010,Reed Bower,pH,8.89,pH,Hach HQ30d,DataSheets_2010,22.06.10
6/7/2010,Reed Bower,pH,9.01,pH,Hach HQ30d,DataSheets_2010,06.07.10
20/7/2010,Reed Bower,pH,9.37,pH,Hach HQ30d,DataSheets_2010,20.07.10
3/8/2010,Reed Bower,pH,9.19,pH,Hach HQ30d,DataSheets_2010,03.08.10
17/8/2010,Reed Bower,pH,9.35,pH,Hach HQ30d,DataSheets_2010,17.08.10
31/8/2010,Reed Bower,pH,8.6,pH,Hach HQ30d,DataSheets_2010,31.08.10
14/9/2010,Reed Bower,pH,8.28,pH,Hach HQ30d,DataSheets_2010,14.09.10
28/9/2010,Reed Bower,pH,7.91,pH,Hach HQ30d,DataSheets_2010,28.09.10
12/10/2010,Reed Bower,pH,8.16,pH,Hach HQ30d,DataSheets_2010,12.10.10
26/10/2010,Reed Bower,pH,7.71,pH,Hach HQ30d,DataSheets_2010,26.10.10
9/11/2010,Reed Bower,pH,8.34,pH,Hach HQ30d,DataSheets_2010,09.11.10
23/11/2010,Reed Bower,pH,8.53,pH,Hach HQ30d,DataSheets_2010,23.11.10
18/1/2011,Reed Bower,pH,7.31,pH,Hach HQ30d,Datasheets_2011,18.01.11
1/2/2011,Reed Bower,pH,8.24,pH,Hach HQ30d,Datasheets_2011,01.02.11
15/2/2011,Reed Bower,pH,8.07,pH,Hach HQ30d,Datasheets_2011,15.02.11
2/3/2011,Reed Bower,pH,8.87,pH,Hach HQ30d,Datasheets_2011,02.03.11
8/4/2011,Reed Bower,pH,8.34,pH,Hach HQ30d,Datasheets_2011,08.04.11
19/4/2011,Reed Bower,pH,8.7,pH,Hach HQ30d,Datasheets_2011,19.04.11
6/5/2011,Reed Bower,pH,7.84,pH,Hach HQ30d,Datasheets_2011,06.05.11
17/5/2011,Reed Bower,pH,8.37,pH,Hach HQ30d,Datasheets_2011,17.05.11
25/5/2011,Reed Bower,pH,8.54,pH,Hach HQ30d,Datasheets_2011,25.05.11
7/6/2011,Reed Bower,pH,8.77,pH,Hach HQ30d,Datasheets_2011,07.06.11
29/6/2011,Reed Bower,pH,8.25,pH,Hach HQ30d,Datasheets_2011,29.06.11
12/7/2011,Reed Bower,pH,8.68,pH,Hach HQ30d,Datasheets_2011,12.07.11
26/7/2011,Reed Bower,pH,9.25,pH,Hach HQ30d,Datasheets_2011,26.07.11
10/8/2011,Reed Bower,pH,8.68,pH,Hach HQ30d,Datasheets_2011,10.08.11
23/8/2011,Reed Bower,pH,8.55,pH,Hach HQ30d,Datasheets_2011,23.08.11
8/9/2011,Reed Bower,pH,8.22,pH,Hach HQ30d,Datasheets_2011,08.09.11
20/9/2011,Reed Bower,pH,7.74,pH,Hach HQ30d,Datasheets_2011,20.09.11
4/10/2011,Reed Bower,pH,8.71,pH,Hach HQ30d,Datasheets_2011,04.10.11
25/10/2011,Reed Bower,pH,8.25,pH,Hach HQ30d,Datasheets_2011,25.10.11
1/11/2011,Reed Bower,pH,7.75,pH,Hach HQ30d,Datasheets_2011,01.11.11
15/11/2011,Reed Bower,pH,8.15,pH,Hach HQ30d,Datasheets_2011,15.11.11
20/12/2011,Reed Bower,pH,8.9,pH,Hach HQ30d,Datasheets_2011,20.12.11
10/1/2012,Reed Bower,pH,7.24,pH,Hach HQ30d,Datasheets_2012,10.01.12
17/1/2012,Reed Bower,pH,7.72,pH,Hach HQ30d,Datasheets_2012,17.01.12
31/1/2012,Reed Bower,pH,8.76,pH,Hach HQ30d,Datasheets_2012,31.01.12
16/2/2012,Reed Bower,pH,8.65,pH,Hach HQ30d,Datasheets_2012,16.02.12
28/2/2012,Reed Bower,pH,8.16,pH,Hach HQ30d,Datasheets_2012,28.02.12
27/3/2012,Reed Bower,pH,8.07,pH,Hach HQ30d,Datasheets_2012,27.03.12
