SPECIES NAME,INFRATAXON,SPECIES ID
ANABAENA,,AA
ANABAENA affinis,,AAAF
ANABAENA circinalis,,AACS
ANABAENA flos-aquae,forma flos-aquae,AAFA
ANABAENA gyres,,AAGY
ANABAENA solitaria,,AASO
ANABAENA spiroides,,AASP
ANABAENA flos-aquae,forma treleasii,AATI
ASTERIONELLA formosa,,AB
ASTERIONELLA formosa,,ABC
ASTEROCAELUM algophilum,,ACA
ACTINOPHRYS,,ACT
AKANTHOCHLORIS,,AK
AKANTHACHLORIS brevispina,,AKBA
AULACOMONAS,,AL
ACTINASTRUM,,AM
AMOEBOFLAGELLATE,,AMFL
ACTINASTRUM hantzschii,,AMHI
AMPHORA,,AMP
APHANOCAPSA,,AN
APHANOTHECE,,AP
APHANOTHECE alascense,,APAE
APHANOTHECE clathrata,,APCA
APHANOTHECE clathrata,,APCC
ANKISTRODESMUS,,AS
ANKISTRODESMUS bibrianus,,ASBS
ANKISTRODESMUS closterioides,,ASCS
ANKISTRODESMUS falcatus,,ASFS
ANKYRA,,AY
ANKYRA lanceolata,,AYLA
ANKYRA spatulifera,,AYSA
APHANIZOMENON,,AZ
APHANIZOMENON flos-aquae,,AZAA
BITRICHIA,,BI
BITRICHIA longispina?,,BILA
BITRICHIA phaseolus,,BIPS
BOTRYOCOCCUS,,BS
BOTRYOCOCCUS braunii,,BSBI
CHODATELLA,,CA
CHODATELLA ciliata,,CACA
CHODATELLA genevensis,,CAGS
CHODATELLA longiseta,,CALA
CHODATELLA quadriseta,,CAQ
CENTRITRACTUS,,CB
CHLOROCOCCALES,,CC
CHRYSOCOCCUS,,CCCS
UNICELLULAR CENTRALES,,CD
UNICELLULAR CENTRALES dead,,CDD
UNICELLULAR CENTRALES dead parasitised,,CDDP
UNICELLULAR CENTRALES live,,CDL
UNICELLULAR CENTRALES live grande,,CDLG
UNICELLULAR CENTRALES live medium,,CDLM
UNICELLULAR CENTRALES live parasitised,,CDLP
UNICELLULAR CENTRALES live small,,CDLS
CERATIUM,,CE
CERATIUM hirundinella,,CEHA
CLOSTERIOPSIS,,CF
CLOSTERIOPSIS acicularis,,CFAS
COLOURLESS FLAGELLATE,,CFL
COLONIAL GREEN,,CGXX
CHARACIUM,,CHA
CHROOCOCCUS,,CHC
CHROOCOCCUS limnetica,,CHCL
CHILOMONAS,,CHL
CHROOMONAS,,CHR
CHROOMONAS rubra,,CHRR
CHLAMYDOCAPSA,,CIA
CYATHOMONAS,,CJ
CYATHOMONAS truncata,,CJTA
COELASTRUM,,CL
COELASTRUM cambricum,,CLCM
COELASTRUM microporum,,CLMM
CLOSTERIUM,,CM
CLOSTERIUM acutum,var. acutum,CMAA
CLOSTERIUM aciculare,,CMAC
CLOSTERIUM acutum,var. variabile,CMAV
CLOSTERIUM kutzingii,,CMKI
CLOSTERIUM limneticum,,CMLM
CLOSTERIUM parvulum,,CMPV
CLOSTERIUM strigosum,,CMSG
CLOSTERIUM setaceum,,CMST
CYMATOPLEURA,,CMT
CLOSTERIUM turpinii,,CMTI
COLLODICTYON,,CN
CHLOROGONIUM,,CNM
COSMARIUM,,CO
COSMARIUM botrytis,,COB
COCCONEIS,,COC
COCCONEIS placentula,,COCP
COSMARIUM depressum,var. planktonicum,CODP
COLONIAL GREEN unidentified,,COLG
COLONIAL ???,,COLX
COSMARIUM orbicilare,,CORB
COSMARIUM subundulatum,,COSM
COSMARIUM turpinii,,COTI
COSMARIUM,,COXX
COENOCHLORIS,,CPA
COENOCHLORIS ovalis,,CPO
COELOSPHAERIUM,,CQ
COELOSPHAERIUM kutzingianum,,CQKM
CORONASTRUM,,CR
CRYPTOMONAS,,CS
CRYPTOMONAS curvata,,CSCA
CRYPTOMONAS erosa,,CSEA
CRYPTOMONAS marssonii,,CSMI
CRYPTOMONAS ovata,,CSOA
CRYPTOMONAS phaseolus,,CSPS
CRYPTOMONAS reflexa,,CSRA
CRYPTOMONAS,,CSXX
CYCLOTELLA,,CT
CYCLOTELLA,,CT5S
CYCLOTELLA,,CT7S
CYCLOTELLA,,CT9S
CYCLOTELLA comta,,CTCA
CYCLOTELLA glomerata,,CTG
CYCLOTELLA kutzingiana,,CTKA
CYCLOTELLA pseudostelligera,,CTPS
CRUCIGENIA,,CU
CRUCIGENIA fenestrata,,CUFA
CRUCIGENIA irregularis,,CUIS
CRUCIGENIA quadrata,,CUQA
CRUCIGENIA rectangularis,,CURS
CRUCIGENIA tetrapedia,,CUTA
CRUCIGENIELLA,,CV
CRUCIGENIELLA rectangularis,,CVRS
COENOCOCCUS,,CW
COENOCOCCUS planctonicus,,CWPS
CYMBELLA,,CY
Unidentified colonial blue-green algae,,CYAN
CHRYSOIKOS,,CYK
CYLINDROSPERMUM,,CYL
DIATOMA,,DA
DIATOMA elongatum,,DACC
DIATOMA elongatum,,DAEM
DIATOMA elongatum large,,DALG
DIATOMA elongatum small,,DASM
DACTYLOCOCCOPSIS,,DC
DESMATRACTUM,,DE
DESMATRACTUM bipyramidatum,,DEBM
DIMORPHOCOCCUS,,DF
DIMORPHOCOCCUS lunatus,,DFLS
DIDYMOCYSTIS,,DI
DIDYMOCYSTIS inconspicua,,DIIA
DIDYMOCYSTIS planctonica,,DIPA
DICTYOSPHAERIUM,,DM
DICTYOSPHAERIUM pulchellum,,DMCC
DICTYOSPHAERIUM pulchellum,,DMPM
DICHOTOMOCOCCUS,,DS
DICHOTOMOCOCCUS curvatum,,DSCM
DINOBRYON,,DY
DINOBRYON bavaricum,,DYBM
DINOBRYON divergens,,DYDV
EUDORINA,,EA
EUASTRUM,,EM
EUASTRUM ansatum,,EMAM
EUASTRUM bidentatum,,EMBM
EUASTRUM denticulatum,,EMDM
EUASTRUM verrucosum,,EMVM
EUCAPSIS,,ES
EUGLENA,,EU
ELAKATOTHRIX,,EX
ELAKATOTHRIX gelatinosa,,EXGA
FRAGILARIA,,FA
FRAGILARIA brevistriata,,FABV
FRAGILARIA capucina,,FACA
FRAGILARIA crotonensis,,FACC
FRAGILARIA crotonensis,,FACS
FRAGILARIA intermedia,,FAIA
FILAMENTOUS GREENS,,FILG
FRANCEIA,,FR
PLANCTOMYCES,,FUNG
GOMPHOSPHAERIA,,GA
GOMPHOSPHAERIA compacta,,GACA
GOMPHOSPHAERIA lacustris,,GALS
GOMPHOSPHAERIA naegeliana,,GANA
GOMPHOSPHAERIA unicells,,GAUN
GLOEOTHECE,,GC
CHLAMYDOMONAS,,GF
CHLAMYDOMONAS,,GFL
ZOOSPORES green flagellate,,GFZ
GOLENKINIA,,GK
GLOEOTRICHIA,,GL
GLOEOTRICHIA echinulata,,GLEA
GLOEOCAPSA,,GLOE
GONIUM,,GM
GLENODINIOPSIS,,GN
GLENODINIOPSIS steinii,,GNSI
GOMPHONEMA,,GO
GOMPHONEMA acuminatum,,GOAM
GYROSIGMA,,GR
GYROMITUS,,GS
GLOEOTILA,,GT
GLOEOTILA pelagica,,GTPA
GYMNODINIUM,,GY
GYMNODINIUM helveticum,var. achroum,GYHA
GYMNODINIUM,,GYPE
GYMNODINIUM,,GYXX
GREEN ZOOSPORES,,GZS
HALTERIA,,HALT
HOFMANIA,,HF
HOFMANIA,,HFXX
HORMIDIUM,,HM
HETEROMASTIX,,HX
KIRCHNERIELLA,,KA
