Location Code ,Date,Whitton Code,Taxa,Original count Unit,Original no's (per ml),Biovolume units,Biovolume (µm^3 per ml),mean cell/fil. length,mean cell width/diameter,mean cell depth,mean biovolume,Mean Staurastrum or Ceratium cell volume ,cells/colony or filament,Factor,Year,Month,Group code,Group,Genus,,,,,,,,
RB5,11/02/2004,01020000,Anabaena,FI,22,,"41,172",,,,,,9,,2004,2,01,,Anabaena,,,,,,,,
RB5,11/02/2004,01020050,Anabaena circinalis,FI,22,,"41,640",,,,,,7,,2004,2,01,,Anabaena,circinalis,,,,,,,
RB5,11/02/2004,01490020,Microcystis flos-aquae,CO,22,,"58,229",,,,,,55,,2004,2,01,,Microcystis,flos-aquae,,,,,,,
RB5,11/02/2004,01750010,Snowella lacustris,CO,44,,"27,082",,,,,,37,,2004,2,01,,Snowella,lacustris,,,,,,,
RB5,11/02/2004,05040002,Cryptomonas (medium) L=21-30um,CE,0,,"1,178",,,,,,1,,2004,2,05,,Cryptomonas,(medium),L=21-30um,,,,,,
RB5,11/02/2004,06070000,Gymnodinium,CE,15,,"11,624",,,,,,1,,2004,2,06,,Gymnodinium,,,,,,,,
RB5,11/02/2004,12000001,Small centric diatom (6-10um diam.),CE,643,,"123,821",,,,,,1,,2004,2,12,,Small Centric,centric,diatom,(6-10um,diam.),,,,
RB5,11/02/2004,12000002,Medium centric diatom (11-20um diam.),CE,577,,"1,019,496",,,,,,1,,2004,2,12,,Medium Centric,centric,diatom,(11-20um,diam.),,,,
RB5,11/02/2004,12030000,Aulacoseira - fat,CE,3018,,"3,318,154",,,,,,1,,2004,2,12,,Aulacoseira,-,fat,,,,,,
RB5,11/02/2004,12030000,Aulacoseira - thin,CE,4793,,"2,951,206",,,,,,1,,2004,2,12,,Aulacoseira,-,thin,,,,,,
RB5,11/02/2004,17200000,Coelastrum,CO,22,,"47,588",,,,,,8,,2004,2,17,,Coelastrum,,,,,,,,
RB5,11/02/2004,17580010,Monoraphidium arcuatum,CE,155,,"4,038",,,,,,1,,2004,2,17,,Monoraphidium,arcuatum,,,,,,,
RB5,11/02/2004,17580020,Monoraphidium contortum,CE,155,,"1,464",,,,,,1,,2004,2,17,,Monoraphidium,contortum,,,,,,,
RB5,11/02/2004,17580040,Monoraphidium griffithii,CE,89,,"15,656",,,,,,1,,2004,2,17,,Monoraphidium,griffithii,,,,,,,
RB5,11/02/2004,17580110,Monoraphidium pusillum,CE,111,,"8,830",,,,,,1,,2004,2,17,,Monoraphidium,pusillum,,,,,,,
