Date,Loch Level m asl,,
21/1/1980,107.14,,
28/1/1980,107.11,,
4/2/1980,107.11,,
11/2/1980,107.24,,
18/2/1980,107.23,,
25/2/1980,107.23,,
3/3/1980,107.14,,
11/3/1980,107.09,,
17/3/1980,107.11,,
24/3/1980,107.14,,
31/3/1980,,,
8/4/1980,,,
13/4/1980,,,
14/4/1980,107.29,,
21/4/1980,107.26,,
28/4/1980,107.20,,
5/5/1980,107.17,,
12/5/1980,107.11,,
19/5/1980,107.11,,
26/5/1980,107.08,,
2/6/1980,107.02,,
9/6/1980,107.05,,
16/6/1980,107.03,,
22/6/1980,,,
23/6/1980,,,
29/6/1980,,,
30/6/1980,,,
6/7/1980,,,
7/7/1980,,,
13/7/1980,,,
14/7/1980,,,
20/7/1980,,,
21/7/1980,,,
27/7/1980,,,
28/7/1980,,,
3/8/1980,,,
4/8/1980,,,
10/8/1980,,,
11/8/1980,,,
17/8/1980,,,
18/8/1980,,,
24/8/1980,,,
25/8/1980,,,
1/9/1980,,,
2/9/1980,,,
8/9/1980,,,
9/9/1980,,,
15/9/1980,,,
16/9/1980,,,
22/9/1980,,,
23/9/1980,,,
29/9/1980,,,
30/9/1980,,,
7/10/1980,,,
13/10/1980,,,
14/10/1980,,,
20/10/1980,,,
21/10/1980,,,
28/10/1980,,,
29/10/1980,,,
10/11/1980,,,
11/11/1980,,,
26/11/1980,,,
27/11/1980,,,
10/12/1980,,,
15/12/1980,,,
16/12/1980,,,
5/1/1981,,,
6/1/1981,107.26,,
20/1/1981,107.11,,
27/1/1981,107.17,,
3/2/1981,107.14,,
10/2/1981,107.11,,
17/2/1981,106.98,,
24/2/1981,106.88,,
3/3/1981,106.89,,
10/3/1981,107.14,,
17/3/1981,107.23,,
24/3/1981,107.20,,
31/3/1981,107.26,,
7/4/1981,107.17,,
14/4/1981,107.17,,
21/4/1981,107.14,,
28/4/1981,107.11,,
12/5/1981,107.11,,
19/5/1981,107.05,,
26/5/1981,107.06,,
2/6/1981,107.05,,
9/6/1981,107.09,,
16/6/1981,107.14,,
23/6/1981,107.09,,
30/6/1981,107.02,,
7/7/1981,106.98,,
15/7/1981,106.94,,
21/7/1981,106.92,,
28/7/1981,106.95,,
11/8/1981,106.77,,
25/8/1981,106.80,,
1/9/1981,106.76,,
8/9/1981,106.71,,
15/9/1981,106.71,,
29/9/1981,107.11,,
6/10/1981,107.24,,
13/10/1981,107.32,,
20/10/1981,107.20,,
27/10/1981,107.08,,
5/11/1981,107.14,,
17/11/1981,107.05,,
1/12/1981,107.20,,
15/12/1981,107.02,,
29/12/1981,106.83,,
12/1/1982,107.11,,
19/1/1982,,,
27/1/1982,,,
3/2/1982,,,
16/2/1982,107.21,,
4/3/1982,,,
9/3/1982,,,
16/3/1982,107.30,,
24/3/1982,,,
31/3/1982,107.14,,
14/4/1982,,,
27/4/1982,,,
12/5/1982,,,
19/5/1982,,,
26/5/1982,,,
2/6/1982,,,
9/6/1982,,,
17/6/1982,,,
23/6/1982,106.95,,
1/7/1982,,,
6/7/1982,,,
14/7/1982,106.89,,
20/7/1982,,,
27/7/1982,,,
3/8/1982,106.85,,
10/8/1982,106.82,,
23/8/1982,106.77,,
8/9/1982,106.77,,
14/9/1982,106.74,,
29/9/1982,106.82,,
12/10/1982,106.74,,
19/10/1982,106.89,,
1/11/1982,106.92,,
8/11/1982,106.95,,
25/11/1982,107.32,,
6/12/1982,107.24,,
14/12/1982,107.29,,
13/1/1983,107.50,,
20/1/1983,107.24,,
1/2/1983,107.23,,
10/2/1983,107.15,,
22/2/1983,107.02,,
1/3/1983,106.94,,
8/3/1983,106.91,,
16/3/1983,106.86,,
22/3/1983,106.98,,
29/3/1983,107.05,,
7/4/1983,107.09,,
18/4/1983,107.08,,
26/4/1983,107.15,,
5/5/1983,107.17,,
17/5/1983,107.27,,
26/5/1983,107.20,,
9/6/1983,107.23,,
29/6/1983,106.97,,
