Date,Harbour.masl
7/1/1993,
15/1/1993,
21/1/1993,
28/1/1993,
5/2/1993,
12/2/1993,
18/2/1993,107.22
26/2/1993,
4/3/1993,106.95
12/3/1993,106.92
18/3/1993,106.93
25/3/1993,106.98
1/4/1993,107.06
7/4/1993,107.14
14/4/1993,107.37
22/4/1993,107.37
29/4/1993,107.33
5/5/1993,
12/5/1993,
20/5/1993,107.49
27/5/1993,
3/6/1993,107.25
10/6/1993,
17/6/1993,
24/6/1993,
1/7/1993,
8/7/1993,
15/7/1993,106.91
22/7/1993,106.93
29/7/1993,106.95
4/8/1993,
12/8/1993,106.85
19/8/1993,
26/8/1993,
1/9/1993,
9/9/1993,106.63
15/9/1993,
23/9/1993,106.67
30/9/1993,
7/10/1993,106.79
20/10/1993,
4/11/1993,106.71
18/11/1993,106.63
2/12/1993,106.62
15/12/1993,107.19
1/1/1994,
2/1/1994,
3/1/1994,
4/1/1994,
5/1/1994,
6/1/1994,
7/1/1994,107.38
8/1/1994,
9/1/1994,
10/1/1994,
11/1/1994,
12/1/1994,
13/1/1994,
14/1/1994,
15/1/1994,
16/1/1994,
17/1/1994,
18/1/1994,
19/1/1994,
20/1/1994,107.35
21/1/1994,
22/1/1994,
23/1/1994,
24/1/1994,
25/1/1994,
26/1/1994,
27/1/1994,
28/1/1994,
29/1/1994,
30/1/1994,
31/1/1994,
1/2/1994,
2/2/1994,
3/2/1994,107.42
4/2/1994,
5/2/1994,
6/2/1994,
7/2/1994,
8/2/1994,
9/2/1994,
10/2/1994,
11/2/1994,
12/2/1994,
13/2/1994,
14/2/1994,
15/2/1994,
16/2/1994,
17/2/1994,107.02
18/2/1994,
19/2/1994,
20/2/1994,
21/2/1994,
22/2/1994,
23/2/1994,
24/2/1994,
25/2/1994,
26/2/1994,
27/2/1994,
28/2/1994,
1/3/1994,
2/3/1994,
3/3/1994,
4/3/1994,
5/3/1994,
6/3/1994,
7/3/1994,
8/3/1994,
9/3/1994,
10/3/1994,
11/3/1994,
12/3/1994,
13/3/1994,
14/3/1994,
15/3/1994,
16/3/1994,
17/3/1994,
18/3/1994,
19/3/1994,
20/3/1994,
21/3/1994,
22/3/1994,107.40
23/3/1994,
24/3/1994,
25/3/1994,
26/3/1994,
27/3/1994,
28/3/1994,
29/3/1994,
30/3/1994,107.45
31/3/1994,
1/4/1994,
2/4/1994,
3/4/1994,
4/4/1994,
5/4/1994,107.40
6/4/1994,
7/4/1994,
8/4/1994,
9/4/1994,
10/4/1994,
11/4/1994,
12/4/1994,107.36
13/4/1994,
14/4/1994,
15/4/1994,
16/4/1994,
17/4/1994,
18/4/1994,107.25
19/4/1994,
20/4/1994,
21/4/1994,
22/4/1994,
23/4/1994,
24/4/1994,
25/4/1994,
26/4/1994,107.29
27/4/1994,
28/4/1994,
29/4/1994,
30/4/1994,
1/5/1994,
2/5/1994,
3/5/1994,107.32
4/5/1994,
5/5/1994,
6/5/1994,
7/5/1994,
8/5/1994,
9/5/1994,
10/5/1994,
11/5/1994,
12/5/1994,
13/5/1994,
14/5/1994,
15/5/1994,
16/5/1994,
17/5/1994,
18/5/1994,
19/5/1994,
20/5/1994,
21/5/1994,
22/5/1994,
23/5/1994,
24/5/1994,
25/5/1994,
26/5/1994,
27/5/1994,
28/5/1994,
29/5/1994,
30/5/1994,
31/5/1994,107.10
1/6/1994,
2/6/1994,
3/6/1994,
4/6/1994,
5/6/1994,
6/6/1994,
7/6/1994,107.17
8/6/1994,
9/6/1994,
10/6/1994,
11/6/1994,
12/6/1994,
13/6/1994,
14/6/1994,107.04
15/6/1994,
16/6/1994,
17/6/1994,
18/6/1994,
19/6/1994,
20/6/1994,
21/6/1994,107.00
22/6/1994,
23/6/1994,
24/6/1994,
25/6/1994,
26/6/1994,
27/6/1994,
28/6/1994,107.03
29/6/1994,
30/6/1994,
1/7/1994,
2/7/1994,
3/7/1994,
4/7/1994,
5/7/1994,107.02
6/7/1994,
7/7/1994,
8/7/1994,
9/7/1994,
10/7/1994,
11/7/1994,
12/7/1994,106.96
13/7/1994,
14/7/1994,
15/7/1994,
16/7/1994,
17/7/1994,
18/7/1994,
19/7/1994,106.87
20/7/1994,
21/7/1994,
22/7/1994,
23/7/1994,
24/7/1994,
25/7/1994,
26/7/1994,106.83
27/7/1994,
28/7/1994,
29/7/1994,
30/7/1994,
31/7/1994,
1/8/1994,
2/8/1994,106.80
3/8/1994,
4/8/1994,
5/8/1994,
6/8/1994,
7/8/1994,
8/8/1994,
9/8/1994,106.78
10/8/1994,
11/8/1994,
12/8/1994,
13/8/1994,
14/8/1994,
15/8/1994,
16/8/1994,106.73
17/8/1994,
18/8/1994,
19/8/1994,
20/8/1994,
21/8/1994,
22/8/1994,
23/8/1994,
24/8/1994,
25/8/1994,
26/8/1994,
27/8/1994,
28/8/1994,
29/8/1994,
30/8/1994,106.69
31/8/1994,
1/9/1994,
2/9/1994,
3/9/1994,
4/9/1994,
5/9/1994,
6/9/1994,106.66
7/9/1994,
8/9/1994,
9/9/1994,
10/9/1994,
11/9/1994,
12/9/1994,
13/9/1994,106.63
14/9/1994,
15/9/1994,
16/9/1994,
17/9/1994,
18/9/1994,
19/9/1994,
20/9/1994,106.63
21/9/1994,
22/9/1994,
23/9/1994,
24/9/1994,
25/9/1994,
26/9/1994,
27/9/1994,106.58
28/9/1994,
29/9/1994,
30/9/1994,
1/10/1994,
2/10/1994,
3/10/1994,
4/10/1994,106.57
5/10/1994,
6/10/1994,
7/10/1994,
8/10/1994,
9/10/1994,
10/10/1994,
11/10/1994,106.55
12/10/1994,
13/10/1994,
14/10/1994,
15/10/1994,
16/10/1994,
17/10/1994,
18/10/1994,
19/10/1994,
20/10/1994,
21/10/1994,
22/10/1994,
23/10/1994,
24/10/1994,
25/10/1994,
26/10/1994,
27/10/1994,
28/10/1994,
29/10/1994,
30/10/1994,
31/10/1994,
1/11/1994,
2/11/1994,
3/11/1994,
4/11/1994,
5/11/1994,
6/11/1994,
7/11/1994,
8/11/1994,106.58
9/11/1994,
10/11/1994,
11/11/1994,
12/11/1994,
13/11/1994,
14/11/1994,
15/11/1994,
16/11/1994,
17/11/1994,
18/11/1994,
19/11/1994,
