Date,Lake,Site,Lat,Long,Cyclops abyssorum (adults + copepodites I-V) ind/L,Cyclopidae nauplii ind/L,Cyclops vicinus (adults + copepodites I-V) ind/L,Copedods - Misc. ind/l,Eudiaptomus gracilis (adults + copepodites I-V) ind/L,Eudiaptomus nauplii ind/L,Daphnia hyalina ind/L,Bosmina longirostris ind/L,Bythotrephes longimanus ind/L,Leptodora kindtii ind/L,Chydoridae ind/L,Cyclopidae (total no. of Cyclopidae adults & copepodites I-V incl. C.abyssorum & C.vicinus) ind/L,Polyphemus pediculus ind/L,Ceriodaphnia sp. ind/L,Sampling method
7/1/1980,Loch Leven,Reed Bower,56.193745,-3.395932,0.84,#N/A,#N/A,#N/A,1,#N/A,5.22,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
14/1/1980,Loch Leven,Reed Bower,56.193745,-3.395932,0.58,#N/A,#N/A,#N/A,0.85,#N/A,2.96,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
4/2/1980,Loch Leven,Reed Bower,56.193745,-3.395932,0.8,#N/A,#N/A,#N/A,0.72,#N/A,2.54,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
11/2/1980,Loch Leven,Reed Bower,56.193745,-3.395932,1.27,#N/A,#N/A,#N/A,0.77,#N/A,3.1,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
18/2/1980,Loch Leven,Reed Bower,56.193745,-3.395932,2.83,#N/A,#N/A,#N/A,0.71,#N/A,5,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
25/2/1980,Loch Leven,Reed Bower,56.193745,-3.395932,5.83,#N/A,#N/A,#N/A,0.43,#N/A,0.58,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
3/3/1980,Loch Leven,Reed Bower,56.193745,-3.395932,7.04,#N/A,#N/A,#N/A,0.52,#N/A,0.67,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
11/3/1980,Loch Leven,Reed Bower,56.193745,-3.395932,10.38,#N/A,#N/A,#N/A,0.29,#N/A,0.64,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
17/3/1980,Loch Leven,Reed Bower,56.193745,-3.395932,5.51,#N/A,#N/A,#N/A,0.29,#N/A,0.64,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
24/3/1980,Loch Leven,Reed Bower,56.193745,-3.395932,5.71,#N/A,#N/A,#N/A,0.51,#N/A,1.25,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
31/3/1980,Loch Leven,Reed Bower,56.193745,-3.395932,6.48,#N/A,#N/A,#N/A,0.38,#N/A,4.24,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
8/4/1980,Loch Leven,Reed Bower,56.193745,-3.395932,6.61,#N/A,#N/A,#N/A,0.59,#N/A,6.27,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
14/4/1980,Loch Leven,Reed Bower,56.193745,-3.395932,4.25,#N/A,#N/A,#N/A,1.11,#N/A,6.98,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
21/4/1980,Loch Leven,Reed Bower,56.193745,-3.395932,17.51,#N/A,#N/A,#N/A,1.5,#N/A,10.32,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
28/4/1980,Loch Leven,Reed Bower,56.193745,-3.395932,17.01,#N/A,#N/A,#N/A,1.29,#N/A,47.18,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
5/5/1980,Loch Leven,Reed Bower,56.193745,-3.395932,16.75,#N/A,#N/A,#N/A,2.09,#N/A,52.26,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
12/5/1980,Loch Leven,Reed Bower,56.193745,-3.395932,7.34,#N/A,#N/A,#N/A,3.95,#N/A,21.73,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
19/5/1980,Loch Leven,Reed Bower,56.193745,-3.395932,4.77,#N/A,#N/A,#N/A,4.23,#N/A,10.61,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
26/5/1980,Loch Leven,Reed Bower,56.193745,-3.395932,9.6,#N/A,#N/A,#N/A,3.93,#N/A,0.51,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
2/6/1980,Loch Leven,Reed Bower,56.193745,-3.395932,28.53,#N/A,#N/A,#N/A,5.37,#N/A,0.62,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
9/6/1980,Loch Leven,Reed Bower,56.193745,-3.395932,9.03,#N/A,#N/A,#N/A,3.17,#N/A,1.51,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
22/6/1980,Loch Leven,Reed Bower,56.193745,-3.395932,31.1,#N/A,#N/A,#N/A,22.52,#N/A,11,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
30/6/1980,Loch Leven,Reed Bower,56.193745,-3.395932,24.62,#N/A,#N/A,#N/A,10.85,#N/A,11.6,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
7/7/1980,Loch Leven,Reed Bower,56.193745,-3.395932,6.51,#N/A,#N/A,#N/A,5.85,#N/A,5.47,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
14/7/1980,Loch Leven,Reed Bower,56.193745,-3.395932,18.02,#N/A,#N/A,#N/A,7.47,#N/A,18.36,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
21/7/1980,Loch Leven,Reed Bower,56.193745,-3.395932,8.84,#N/A,#N/A,#N/A,7.71,#N/A,19.7,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,Vertical plankton net haul; mesh size 100 um
