Date,Sum of Biovolume
11/2/2004,1178.116991
9/3/2004,6616.921045
20/4/2004,429605.6787
18/5/2004,1325550.962
8/6/2004,639511.5317
13/7/2004,39892.98433
17/8/2004,90349.7722
29/9/2004,321171.442
19/10/2004,11368.03374
15/12/2004,64968.44169
13/1/2005,12233.9518
22/2/2005,33779.30025
22/3/2005,528095.4339
19/4/2005,93549.6192
17/5/2005,117202.3249
14/6/2005,6935349.433
12/7/2005,331118.3535
23/8/2005,24721.32532
20/9/2005,564225.6744
19/10/2005,427443.6928
15/11/2005,5369.158791
13/12/2005,27813.79557
7/2/2006,25777.85428
10/3/2006,288924.1313
18/4/2006,36800.98654
16/5/2006,267360.7808
13/6/2006,1345624.07
11/7/2006,183128.8471
22/8/2006,4930559.42
19/9/2006,38273.02601
31/10/2006,340979.3546
21/12/2006,39338.23098
9/1/2007,8729.670421
6/2/2007,40631.99683
6/3/2007,346712.4191
13/4/2007,67215.36681
15/5/2007,1462498.405
12/6/2007,401001.8623
10/7/2007,229779.1436
22/8/2007,570804.1463
18/9/2007,87615.97437
16/10/2007,135270.4096
13/11/2007,617535.045
12/12/2007,410744.4728
8/1/2008,265770.0324
5/2/2008,541275.0419
18/3/2008,1239854.862
29/4/2008,163867.0957
13/5/2008,494654.1424
10/6/2008,1632599.609
22/7/2008,2386841.044
19/8/2008,951975.2955
2/9/2008,767286.1961
14/10/2008,462896.9453
11/11/2008,683723.0789
9/12/2008,246962.6026
20/1/2009,82395.57921
17/2/2009,213550.8458
31/3/2009,646100.4475
28/4/2009,503524.0469
26/5/2009,1262555.86
23/6/2009,2343039.553
7/7/2009,4644386.163
21/7/2009,281346.1084
4/8/2009,1014370.31
18/8/2009,2270583.521
1/9/2009,114619.0149
11/9/2009,1067606.524
29/9/2009,979385.1179
13/10/2009,404522.4597
10/11/2009,398121.5327
8/12/2009,11914.40306
19/3/2010,18506.83672
13/4/2010,79687.40638
11/5/2010,227742.1002
22/6/2010,412770.8008
20/7/2010,149088.0441
17/8/2010,78058.33625
14/9/2010,70433.98802
12/10/2010,114046.0638
9/11/2010,202048.5457
22/12/2010,31466.69975
7/1/2011,39644.2768
19/1/2011,37955.42536
1/2/2011,19542.02951
15/2/2011,113633.7185
2/3/2011,37274.42692
8/4/2011,373480.446
19/4/2011,447143.653
6/5/2011,185338.5829
17/5/2011,471371.4362
25/5/2011,657514.6802
7/6/2011,297101.6803
29/6/2011,523768.5176
26/7/2011,20025.49401
10/8/2011,449210.9372
23/8/2011,485878.2652
8/9/2011,210644.5584
20/9/2011,743412.2701
4/10/2011,500832.8813
25/10/2011,142592.9802
1/11/2011,233032.2643
15/11/2011,67395.59611
20/12/2011,67027.28295
10/1/2012,145329.8823
17/1/2012,414639.4269
31/1/2012,241907.111
16/2/2012,531643.272
28/2/2012,323118.8065
10/4/2012,213495.9438
1/5/2012,330115.521
15/5/2012,1206202.48
29/5/2012,262687.1331
25/6/2012,353504.713
10/7/2012,174414.0102
24/7/2012,345460.8105
7/8/2012,308322.9046
21/8/2012,525344.1806
4/9/2012,89469.53538
18/9/2012,441325.1191
2/10/2012,323185.2974
16/10/2012,418438.6794
1/11/2012,281440.0628
13/11/2012,262526.3058
27/11/2012,417841.5701
8/1/2013,155340.4486
24/1/2013,282967.9893
5/2/2013,218992.7858
5/3/2013,364315.6763
26/3/2013,213180.4506
16/4/2013,198492.6304
30/4/2013,390605.9199
14/5/2013,300476.5464
28/5/2013,155668.7098
11/6/2013,232945.621
25/6/2013,293106.7256
9/7/2013,886870.0638
26/7/2013,559524.9601
6/8/2013,352788.7902
20/8/2013,460869.2856
3/9/2013,299644.4554
1/10/2013,406701.9199
15/10/2013,664789.6315
29/10/2013,188059.2253
12/11/2013,92636.15995
26/11/2013,163113.315
10/12/2013,197460.2599
7/1/2014,124685.1719
21/1/2014,261570.7915
4/2/2014,168335.8181
4/3/2014,276286.4962
17/3/2014,496002.9074
1/4/2014,381764.3395
15/4/2014,324443.8681
29/4/2014,420917.6936
13/5/2014,487364.2201
27/5/2014,424467.822
10/6/2014,717159.7867
24/6/2014,752606.4971
8/7/2014,386347.3056
22/7/2014,190663.9452
5/8/2014,425714.6204
19/8/2014,548866.0258
2/9/2014,131990.4354
16/9/2014,307560.0571
2/10/2014,228386.8074
14/10/2014,500644.4047
28/10/2014,526030.0275
11/11/2014,229033.9459
26/11/2014,142755.7464
12/12/2014,140769.2952
17/2/2015,246787.1313
4/3/2015,449840.8409
17/3/2015,374903.5297
31/3/2015,184562.1873
14/4/2015,305085.1369
28/4/2015,247766.2685
13/5/2015,112177.9758
26/5/2015,483744.7796
9/6/2015,384152.8943
23/6/2015,887911.8135
7/7/2015,592363.5674
21/7/2015,431073.3552
4/8/2015,401590.4464
18/8/2015,409398.2264
1/9/2015,216280.4659
15/9/2015,215174.2817
29/9/2015,349127.5774
13/10/2015,258332.7786
27/10/2015,77121.98881
10/11/2015,66331.8861
26/11/2015,25069.8035
22/12/2015,22213.41852
19/1/2016,20616.45847
16/2/2016,104963.547
1/3/2016,413589.7036
15/3/2016,1217566.464
29/3/2016,575615.664
12/4/2016,111933.1967
26/4/2016,51666.48413
10/5/2016,664387.2968
24/5/2016,546502.0452
7/6/2016,858256.3276
21/6/2016,1047979.674
5/7/2016,128595.1516
19/7/2016,160967.2894
29/7/2016,389171.2841
16/8/2016,365856.0308
30/8/2016,523451.3097
13/9/2016,257090.5285
27/9/2016,155863.166
11/10/2016,232007.0163
25/10/2016,234414.9393
8/11/2016,247984.9591
22/11/2016,203963.309
6/12/2016,131199.3239
20/12/2016,302996.0223
,
