Date,Sum of Biovolume
11/2/2004,7412676.872
9/3/2004,3630115.202
20/4/2004,1451054.223
18/5/2004,10996.48833
8/6/2004,124615.8285
13/7/2004,2622259.113
17/8/2004,69433.38224
29/9/2004,20307423.69
19/10/2004,26748031.13
15/11/2004,6240807.901
15/12/2004,705055.1245
13/1/2005,1422225.025
22/2/2005,2439719.24
22/3/2005,10702036.26
19/4/2005,8140618.105
17/5/2005,59289.06484
14/6/2005,109791.8751
12/7/2005,80383.33714
23/8/2005,64045.26049
20/9/2005,6233946.747
19/10/2005,17522671.74
15/11/2005,1992608.81
13/12/2005,1437637.208
7/2/2006,36394482.16
10/3/2006,15579461.02
18/4/2006,23727835.23
16/5/2006,69614.47029
13/6/2006,104353.5948
11/7/2006,13230395.92
22/8/2006,2275556.681
19/9/2006,9298186.574
31/10/2006,86244010.68
21/12/2006,3086056.577
9/1/2007,8257562.178
6/2/2007,28081167.44
6/3/2007,8221452.562
13/4/2007,4500206.028
15/5/2007,961636.6951
12/6/2007,294954.9963
10/7/2007,4502499.784
22/8/2007,950020.7297
18/9/2007,553244.6913
16/10/2007,708995.1675
13/11/2007,2866609.722
12/12/2007,7184819.326
8/1/2008,1725129.724
5/2/2008,8841984.546
18/3/2008,33340845.08
29/4/2008,1726592.513
13/5/2008,330663.6742
10/6/2008,122312.2207
22/7/2008,1822249.181
19/8/2008,6833416.741
2/9/2008,4236180.995
14/10/2008,9224318.453
11/11/2008,8885050.746
9/12/2008,10001198.98
20/1/2009,14353529.4
17/2/2009,8115144.702
31/3/2009,4385826.468
28/4/2009,796023.1304
26/5/2009,1407300.819
23/6/2009,233637.1306
7/7/2009,3137356.677
21/7/2009,15067930.01
4/8/2009,1567405.426
18/8/2009,4382636.627
1/9/2009,14708451.53
11/9/2009,5415331.895
29/9/2009,294311.9752
13/10/2009,393666.7535
10/11/2009,130535.6799
8/12/2009,283572.683
19/3/2010,13130532.14
13/4/2010,6327463.117
11/5/2010,1368597.513
22/6/2010,30651.63194
20/7/2010,8163917.58
17/8/2010,3597306.29
14/9/2010,2257117.101
12/10/2010,1181247.09
9/11/2010,8960685.051
22/12/2010,5718607.356
7/1/2011,1768263.646
19/1/2011,2436910.187
1/2/2011,3491778.882
15/2/2011,10446032.89
2/3/2011,5901387.872
8/4/2011,3157074.401
19/4/2011,4212660.236
6/5/2011,254422.966
17/5/2011,46956.84801
25/5/2011,2927827.606
7/6/2011,153858.7693
29/6/2011,506114.3476
26/7/2011,17308364.81
10/8/2011,2257420.001
23/8/2011,9216096.652
8/9/2011,1036282.862
20/9/2011,1592624.358
4/10/2011,3358987.41
25/10/2011,6146759.061
1/11/2011,4598828.124
15/11/2011,3406062.357
20/12/2011,3018541.649
10/1/2012,3415227.327
17/1/2012,1767030.577
31/1/2012,5085585.873
16/2/2012,6945512.14
28/2/2012,6273072.23
10/4/2012,731578.0326
1/5/2012,208201.9996
15/5/2012,1636483.512
29/5/2012,114054.541
25/6/2012,616220.0019
10/7/2012,990578.3821
24/7/2012,5748622.486
7/8/2012,1293842.618
21/8/2012,11176587.63
4/9/2012,12904067.05
18/9/2012,4563126.56
2/10/2012,3442575.888
16/10/2012,6442359.235
1/11/2012,7928264.722
13/11/2012,5113719.987
27/11/2012,6808233.135
8/1/2013,7739909.494
24/1/2013,8816924.198
5/2/2013,7816139.84
5/3/2013,5254808.915
26/3/2013,7305068.74
16/4/2013,5923867.364
30/4/2013,622172.7601
14/5/2013,813395.2957
28/5/2013,3089829.637
11/6/2013,20304.58507
25/6/2013,41917.6235
9/7/2013,95856.21307
26/7/2013,862790.058
6/8/2013,9787072.961
20/8/2013,18648357.66
3/9/2013,2563479.172
1/10/2013,8940267.251
15/10/2013,12448610.62
29/10/2013,1153254.508
12/11/2013,63716.29052
26/11/2013,347426.5695
10/12/2013,476355.1004
7/1/2014,1802285.897
21/1/2014,5611740.517
4/2/2014,10849428.9
4/3/2014,3810612.214
17/3/2014,6960558.29
1/4/2014,11847090.56
15/4/2014,4233574.244
29/4/2014,186757.7571
13/5/2014,366806.0299
27/5/2014,10676.8214
