Date,Sum of Biovolume
11/2/2004,269826.5299
9/3/2004,217874.331
20/4/2004,78996.32368
18/5/2004,29348.93647
8/6/2004,151540.6987
13/7/2004,317374.1512
17/8/2004,246785.2914
29/9/2004,470868.0518
19/10/2004,106019.8138
15/11/2004,159291.6182
15/12/2004,390871.5829
13/1/2005,72096.7005
22/2/2005,150276.4067
22/3/2005,177791.7494
19/4/2005,2261345.982
17/5/2005,457522.9655
14/6/2005,862594.479
12/7/2005,64118.29502
23/8/2005,6262.203248
20/9/2005,190904.7985
19/10/2005,196042.9252
15/11/2005,272871.7881
13/12/2005,89079.30449
7/2/2006,126053.3538
10/3/2006,604587.3968
18/4/2006,138937.5041
16/5/2006,33430.42526
13/6/2006,66506.69276
11/7/2006,735137.7281
22/8/2006,338970.8112
19/9/2006,511886.5645
31/10/2006,287055.4871
21/12/2006,15947.77816
9/1/2007,124520.1769
6/2/2007,170322.4611
6/3/2007,17597.9791
13/4/2007,156727.34
15/5/2007,1198877.129
12/6/2007,107749.8722
10/7/2007,830980.8303
22/8/2007,451971.3063
18/9/2007,81689.84854
16/10/2007,73380.96045
13/11/2007,211178.5061
12/12/2007,32497.7856
8/1/2008,131306.0221
5/2/2008,2266376.884
18/3/2008,7147581.821
29/4/2008,221879.3542
13/5/2008,237008.231
10/6/2008,133545.6392
22/7/2008,674560.0784
19/8/2008,949509.3093
2/9/2008,946798.7423
14/10/2008,1360478.011
11/11/2008,289916.3908
9/12/2008,1053088.238
20/1/2009,703294.6162
17/2/2009,299866.5401
31/3/2009,1624971.649
28/4/2009,307508.8493
26/5/2009,1905505.7
23/6/2009,1224580.413
7/7/2009,1909991.608
21/7/2009,2494182.375
4/8/2009,1047726.038
18/8/2009,1165579.456
1/9/2009,436362.5562
11/9/2009,962029.8981
29/9/2009,966343.3841
13/10/2009,140646.4214
10/11/2009,47476.43939
8/12/2009,80909.42516
19/3/2010,53526.42967
13/4/2010,315026.5652
11/5/2010,236442.9704
22/6/2010,258290.6496
20/7/2010,228377.8449
17/8/2010,204017.4787
14/9/2010,183440.1196
12/10/2010,22863.78918
9/11/2010,187072.1446
22/12/2010,56995.36628
7/1/2011,257397.2108
19/1/2011,184847.3356
1/2/2011,444841.3964
15/2/2011,73267.53301
2/3/2011,182887.6999
8/4/2011,664167.9699
19/4/2011,227844.368
6/5/2011,151906.9023
17/5/2011,188135.9459
25/5/2011,690850.9601
7/6/2011,469891.4393
29/6/2011,239898.5757
26/7/2011,399996.5649
10/8/2011,824614.0225
23/8/2011,657346.5398
8/9/2011,153073.3901
20/9/2011,421739.9161
4/10/2011,278686.4743
25/10/2011,534393.2024
1/11/2011,501064.1967
15/11/2011,67823.66162
20/12/2011,49280.42455
10/1/2012,96753.93982
17/1/2012,101977.4096
31/1/2012,311262.9438
16/2/2012,311967.3703
28/2/2012,157513.5228
10/4/2012,306533.5667
1/5/2012,105314.8477
15/5/2012,362941.9209
29/5/2012,93410.89084
25/6/2012,520562.0093
10/7/2012,633104.2153
24/7/2012,545062.5775
7/8/2012,354349.3374
21/8/2012,620669.2858
4/9/2012,226613.5881
18/9/2012,787596.871
2/10/2012,703594.1329
16/10/2012,298876.5543
1/11/2012,151662.3518
13/11/2012,441938.7392
27/11/2012,366096.0204
8/1/2013,186427.6722
24/1/2013,154669.5505
5/2/2013,167929.3191
5/3/2013,205286.5695
26/3/2013,85260.78368
16/4/2013,503471.355
30/4/2013,580562.0133
14/5/2013,247203.6688
28/5/2013,71720.15389
11/6/2013,458.0792418
25/6/2013,4790.15083
9/7/2013,453883.5089
26/7/2013,1080662.041
6/8/2013,347696.7092
20/8/2013,653356.3459
3/9/2013,513397.3587
1/10/2013,362744.003
15/10/2013,464285.1826
29/10/2013,605828.2003
12/11/2013,36465.70518
26/11/2013,92797.79872
10/12/2013,430926.7838
7/1/2014,199418.9349
21/1/2014,200790.4288
4/2/2014,105419.3837
4/3/2014,71426.40925
17/3/2014,126214.9418
1/4/2014,50899.90432
15/4/2014,194080.2136
29/4/2014,59288.5301
13/5/2014,93876.44474
27/5/2014,210963.5819
10/6/2014,152747.0008
24/6/2014,208521.5304
8/7/2014,212079.0247
22/7/2014,508270.199
5/8/2014,241482.273
19/8/2014,640692.249
2/9/2014,251087.5046
16/9/2014,242868.9194
2/10/2014,246485.4637
14/10/2014,331552.983
28/10/2014,197170.5017
11/11/2014,165696.1383
26/11/2014,102430.437
12/12/2014,42686.03965
17/2/2015,120140.4304
4/3/2015,179754.3348
17/3/2015,253308.2865
31/3/2015,251432.1211
14/4/2015,235925.1502
28/4/2015,126645.4792
13/5/2015,14345.14078
26/5/2015,974429.8835
9/6/2015,95628.95138
23/6/2015,728131.0649
7/7/2015,190036.2169
21/7/2015,564041.8767
4/8/2015,1187910.949
18/8/2015,587277.2653
1/9/2015,700651.3544
15/9/2015,471443.6535
29/9/2015,580937.2175
13/10/2015,231439.8706
27/10/2015,46673.64298
10/11/2015,129343.7938
26/11/2015,52381.52874
22/12/2015,29584.9364
19/1/2016,11367.85627
16/2/2016,32616.31237
1/3/2016,24839.56458
15/3/2016,110148.5622
29/3/2016,266816.9738
12/4/2016,28085.17135
26/4/2016,31514.28094
10/5/2016,299519.0902
24/5/2016,39268.41414
7/6/2016,131115.9249
21/6/2016,83180.97953
5/7/2016,205147.4379
19/7/2016,320015.1224
29/7/2016,238932.5937
16/8/2016,922855.4299
30/8/2016,405712.8764
13/9/2016,303030.3876
27/9/2016,352097.2382
11/10/2016,407468.4308
25/10/2016,228018.217
8/11/2016,170153.9939
22/11/2016,95840.42833
6/12/2016,38976.93555
20/12/2016,122104.1877
