Expr1,month,year,RB5 ChlA,RB5 Cond,RB5 DO,RB5 NH4,RB5 NO2,RB5 NO3,RB5 pH,RB5 PP,RB5 PSiO2,RB5 SD,RB5 SRP,RB5 SRSi,RB5 SURP,RB5 Temp,RB5 TON,RB5 TP,RB5 TSi,RB5 TSP,Sl8 ChlA,Sl8 Cond,Sl8 DO,Sl8 NH4,Sl8 NO2,Sl8 NO3,Sl8 pH,Sl8 PP,Sl8 PSiO2,Sl8 SD,Sl8 SRP,Sl8 SRSi,Sl8 SURP,Sl8 Temp,Sl8 TON,Sl8 TP,Sl8 TSi,Sl8 TSP,Sl8 TSSiO2,Uns ChlA,Uns NO3,Uns SRP,Uns SRSi,Uns TP
3/1/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,
7/1/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,
14/1/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,
21/1/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,
28/1/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.47,33,11.23,49
4/2/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,,39,,53
11/2/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,31,,75.5
18/2/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,,,,28.5
25/2/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8,,9.5,,52
3/3/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.9,2.45,20,,57
11/3/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.3,2.3,3,,
17/3/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.3,2.42,2.5,,
24/3/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6,2.38,2.5,,
31/3/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.7,2.44,2,,
8/4/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,2.18,7.5,,
13/4/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48,
14/4/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.6,2,3,,
20/4/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,
21/4/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6,1.9,2.5,,
27/4/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,
28/4/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1.75,2.5,,
4/5/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,
5/5/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,1.6,5,,
11/5/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.52,
12/5/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6,1.35,3,,
18/5/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,
19/5/1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1.25,2,,
